"","PLZ","WOBFS","Region"
"817",1852,5413,1
"818",1217,6630,1
"819",1509,5692,1
"820",4710,2422,3
"821",3073,356,3
"822",9014,3203,2
"823",7426,3662,2
"824",1288,6601,1
"825",4710,2422,3
"826",4415,2828,3
"827",6853,5254,5
"828",1214,6643,1
"829",1196,5721,1
"830",6853,5254,5
"831",7320,3296,2
"832",3098,355,3
"833",1808,5884,1
"834",5024,4008,4
"835",3700,768,2
"836",4208,2621,3
"837",8280,4671,4
"838",4127,2766,3
"839",8181,60,4
"840",8427,68,4
"841",5036,4010,4
"842",5200,4095,4
"843",9000,3203,2
"844",2000,6458,1
"845",8952,247,4
"846",1213,6631,1
"847",3007,351,3
"848",9000,3203,2
"849",9000,3203,2
"850",8006,261,4
"851",1789,2284,3
"852",4900,329,3
"853",6572,5398,5
"854",3860,785,2
"855",8006,261,4
"856",6430,1372,2
"857",8404,230,4
"858",8954,244,4
"859",5712,4131,4
"860",8038,261,4
"861",9013,3203,2
"862",1225,6613,1
"863",6314,1709,2
"864",1860,5401,1
"865",4584,2456,3
"866",2545,2556,3
"867",2035,6458,1
"868",8340,117,4
"869",5722,4006,4
"870",2854,6729,1
"871",1775,2029,1
"872",8049,261,4
"873",3098,355,3
"874",5210,4123,4
"875",6500,5002,5
"876",8046,261,4
"877",4123,2762,3
"878",8004,261,4
"879",6153,1145,2
"880",5610,4082,4
"881",4952,953,3
"882",8458,26,4
"883",6222,1081,2
"884",9621,3375,2
"885",3097,355,3
"886",9030,3442,2
"887",8404,230,4
"888",9322,4411,4
"889",1913,6140,1
"890",4614,2579,3
"891",3018,351,3
"892",8252,4546,4
"893",8808,1322,2
"894",3979,6238,1
"895",4114,2476,3
"896",9063,3005,2
"897",4702,2407,3
"898",8545,225,4
"899",8048,261,4
"900",3110,616,3
"901",1110,5642,1
"902",1661,2145,1
"903",6454,1207,2
"904",1024,5635,1
"905",1971,6263,1
"906",1219,6643,1
"907",1376,5541,1
"908",6280,1031,2
"909",9200,3443,2
"910",1041,5514,1
"911",8048,261,4
"912",4142,2769,3
"913",8052,261,4
"914",3084,355,3
"915",7205,3947,2
"916",4542,2527,3
"917",8620,121,4
"918",2542,392,3
"919",2543,387,3
"920",2543,387,3
"921",6345,1705,2
"922",5210,4123,4
"923",5225,4124,4
"924",5242,4092,4
"925",5400,4021,4
"926",5405,4021,4
"927",5412,4029,4
"928",5412,4029,4
"929",4315,4264,3
"930",9500,3427,2
"931",4800,4289,3
"932",4852,4282,3
"933",5745,4283,3
"934",8252,4546,4
"935",8253,4545,4
"936",8264,4806,4
"937",8500,4566,4
"938",8500,4566,4
"939",8500,4566,4
"940",8500,4566,4
"941",8500,4566,4
"942",5316,4313,4
"943",5467,4306,4
"944",5467,4306,4
"945",3908,6289,2
"946",3908,6289,2
"947",9535,4786,2
"948",9514,4791,4
"949",5630,4236,4
"950",5733,4137,4
"951",5103,4203,4
"952",5615,4196,4
"953",5707,4208,4
"954",5707,4208,4
"955",5018,4005,4
"956",5722,4006,4
"957",7451,3542,2
"958",7122,3672,2
"959",3414,418,3
"960",3422,412,3
"961",3422,412,3
"962",3007,351,3
"963",3007,351,3
"964",3014,351,3
"965",3014,351,3
"966",3014,351,3
"967",3014,351,3
"968",3052,361,3
"969",3052,361,3
"970",3084,355,3
"971",3110,616,3
"972",3110,616,3
"973",3110,616,3
"974",3110,616,3
"975",3114,632,3
"976",3123,861,3
"977",3154,853,3
"978",3173,355,3
"979",3207,671,3
"980",3322,551,3
"981",3322,551,3
"982",3510,612,3
"983",6454,1207,2
"984",6196,1010,2
"985",9436,3232,2
"986",9054,3104,2
"987",8887,3293,2
"988",8887,3293,2
"989",9122,3378,2
"990",9127,3378,2
"991",8645,3340,2
"992",8832,1323,4
"993",6374,1502,2
"994",4535,2548,3
"995",3362,982,3
"996",4900,329,3
"997",4900,329,3
"998",4934,332,3
"999",4937,344,3
"1000",4937,344,3
"1001",6210,1103,2
"1002",6216,1091,2
"1003",6020,1024,2
"1004",6020,1024,2
"1005",6010,1059,2
"1006",6010,1059,2
"1007",6036,1053,2
"1008",6003,1061,2
"1009",6005,1061,2
"1010",6015,1061,2
"1011",4147,2761,3
"1012",4622,2401,3
"1013",4612,2586,3
"1014",4617,2578,3
"1015",5012,2583,3
"1016",5012,2583,3
"1017",8600,191,4
"1018",8610,198,4
"1019",8487,231,4
"1020",8544,298,4
"1021",8152,66,4
"1022",8152,66,4
"1023",8181,60,4
"1024",8193,55,4
"1025",8304,69,4
"1026",3714,563,2
"1027",3612,939,2
"1028",2557,749,3
